trip_id,stop_id,stop_sequence
1069472,420541,23
1069472,602070,24
1069472,215926,25
1069472,236565,26
1069472,277163,27
1069472,412700,28
1069472,399768,29
1069472,210872,30
1069472,511257,31
1069472,678009,32
1069472,401447,33
1069472,63941,34
1073787,122366,0
1073787,558336,1
1073787,321643,2
1073787,82633,3
1073787,208066,4
1073787,418217,5
1073787,652613,6
1073787,444060,7
1073787,174853,8
1073787,38349,9
1073787,529410,10
1073787,396307,11
1073787,29808,12
1073787,426778,13
1073787,535014,14
1073787,18649,15
1073787,361570,16
1073787,386320,17
1073787,294579,18
1073787,583705,19
1073787,160843,20
1073787,296865,21
1073787,634877,22
1073787,420541,23
1073787,602070,24
1073787,215926,25
1073787,236565,26
1073787,277163,27
1073787,412700,28
1073787,399768,29
1073787,210872,30
1073787,511257,31
1073787,678009,32
1073787,401447,33
1073787,63941,34
1076886,546683,0
1076886,499391,1
1076886,621041,2
1076886,247790,3
1076886,533739,4
1076886,582513,5
1076886,621945,6
1076886,212681,7
1076886,194070,8
1076886,215926,9
1076886,667084,10
1076886,112872,11
1076886,312521,12
1076886,139902,13
1076886,97530,14
1076886,335463,15
1076886,409875,16
1076886,524375,17
1076886,218138,18
1076886,637441,19
1076886,539010,20
1076886,275114,21
1076886,313272,22
1076886,286826,23
1076886,50068,24
1076886,264692,25
1076886,607303,26
1076886,592404,27
1076886,16975,28
1076886,417110,29
1076886,66008,30
1076886,193969,31
1076886,439967,32
1076886,26820,33
1076886,122366,34
1078850,546683,0
1078850,499391,1
1078850,621041,2
1078850,247790,3
1078850,533739,4
1078850,582513,5
1078850,621945,6
1078850,212681,7
1078850,194070,8
1078850,215926,9
1078850,667084,10
1078850,112872,11
1078850,312521,12
1078850,139902,13
1078850,97530,14
1078850,335463,15
1078850,409875,16
1078850,524375,17
1078850,218138,18
1078850,637441,19
1078850,539010,20
1078850,275114,21
1078850,313272,22
1078850,286826,23
1078850,50068,24
1078850,264692,25
1078850,607303,26
1078850,592404,27
1078850,16975,28
1078850,417110,29
1078850,66008,30
1078850,193969,31
1078850,439967,32
1078850,26820,33
1078850,122366,34
1080127,546683,0
1080127,499391,1
1080127,621041,2
1080127,247790,3
1080127,533739,4
1080127,582513,5
1080127,621945,6
1080127,212681,7
1080127,194070,8
1080127,215926,9
1080127,667084,10
1080127,112872,11
1080127,312521,12
1080127,139902,13
1080127,97530,14
1080127,335463,15
1080127,409875,16
1080127,524375,17
1080127,218138,18
1080127,637441,19
1080127,539010,20
1080127,275114,21
1080127,313272,22
1080127,286826,23
1080127,50068,24
1080127,264692,25
1080127,607303,26
1080127,592404,27
1085614,122366,0
1085614,558336,1
1085614,321643,2
1085614,82633,3
1085614,208066,4
1085614,418217,5
1085614,652613,6
1085614,444060,7
1085614,174853,8
1085614,38349,9
1085614,529410,10
1085614,396307,11
1085614,29808,12
1085614,426778,13
1085614,535014,14
1085614,18649,15
1085614,361570,16
1085614,386320,17
1085614,294579,18
1085614,583705,19
1085614,160843,20
1085614,296865,21
1085614,634877,22
1085614,420541,23
1085614,602070,24
1085614,215926,25
1085614,236565,26
1085614,277163,27
1085614,412700,28
1085614,399768,29
1085614,210872,30
1085614,511257,31
1085614,678009,32
1085614,401447,33
1085614,63941,34
1092520,546683,0
1092520,499391,1
1092520,621041,2
1092520,247790,3
1092520,533739,4
1092520,582513,5
1092520,621945,6
1092520,212681,7
1092520,194070,8
1092520,215926,9
1092520,667084,10
1092520,112872,11
1092520,312521,12
1092520,139902,13
1092520,97530,14
1092520,335463,15
1092520,409875,16
1092520,524375,17
1092520,218138,18
1092520,637441,19
1092520,539010,20
1092520,275114,21
1092520,313272,22
1092520,286826,23
1092520,50068,24
1092520,264692,25
1092520,607303,26
1092520,592404,27
1092520,16975,28
1092520,417110,29
1092520,66008,30
1092520,193969,31
1092520,439967,32
1092520,26820,33
1092520,122366,34
1093499,546683,0
1093499,499391,1
1093499,621041,2
1093499,247790,3
1093499,533739,4
1093499,582513,5
1093499,621945,6
1093499,212681,7
1093499,194070,8
1093499,215926,9
1093499,667084,10
1093499,112872,11
1093499,312521,12
1093499,139902,13
1093499,97530,14
1093499,335463,15
1093499,409875,16
1093499,524375,17
1093499,218138,18
1093499,637441,19
1093499,539010,20
1093499,275114,21
1093499,313272,22
1093499,286826,23
1093499,50068,24
1093499,264692,25
1093499,607303,26
1093499,592404,27
1093499,16975,28
1093499,417110,29
1093499,66008,30
1093499,193969,31
1093499,439967,32
1093499,26820,33
1093499,122366,34
1098561,122366,0
1098561,558336,1
1098561,321643,2
1098561,82633,3
1098561,208066,4
1098561,418217,5
1098561,652613,6
1098561,444060,7
1098561,174853,8
1098561,38349,9
1098561,529410,10
1098561,396307,11
1098561,29808,12
1098561,426778,13
1098561,535014,14
1098561,18649,15
1098561,361570,16
1098561,386320,17
1098561,294579,18
1098561,583705,19
1098561,160843,20
1098561,296865,21
1098561,634877,22
1098561,420541,23
1098561,602070,24
1098561,215926,25
1098561,236565,26
1098561,277163,27
1098561,412700,28
1098561,399768,29
1098561,210872,30
1098561,511257,31
1098561,678009,32
1098561,401447,33
1098561,63941,34
1109083,122366,0
1109083,558336,1
1109083,321643,2
1109083,82633,3
1109083,208066,4
1109083,418217,5
1109083,652613,6
1109083,444060,7
1109083,174853,8
1109083,38349,9
1109083,529410,10
1109083,396307,11
1109083,29808,12
1109083,426778,13
1109083,535014,14
1109083,18649,15
1109083,361570,16
1109083,386320,17
1109083,294579,18
1109083,583705,19
1109083,160843,20
1109083,296865,21
1109083,634877,22
1109083,420541,23
1109083,602070,24
1109083,215926,25
1109083,236565,26
1109083,277163,27
1109083,412700,28
1109083,399768,29
1109083,210872,30
1109083,511257,31
1109083,678009,32
1109083,401447,33
1109083,63941,34
1109323,122366,0
1109323,558336,1
1109323,321643,2
1109323,82633,3
1109323,208066,4
1109323,418217,5
1109323,652613,6
1109323,444060,7
1109323,174853,8
1109323,38349,9
1109323,529410,10
1109323,396307,11
1109323,29808,12
1109323,426778,13
1109323,535014,14
1109323,18649,15
1109323,361570,16
1109323,386320,17
1109323,294579,18
1109323,583705,19
1109323,160843,20
1109323,296865,21
1109323,634877,22
1109323,420541,23
1109323,602070,24
1109323,215926,25
1109323,236565,26
1109323,277163,27
1109323,412700,28
1109323,399768,29
1109323,210872,30
1109323,511257,31
1109323,678009,32
1109323,401447,33
1109323,63941,34
1116661,546683,0
1116661,499391,1
1116661,621041,2
1116661,247790,3
1116661,533739,4
1116661,582513,5
1116661,621945,6
1116661,212681,7
1116661,194070,8
1116661,215926,9
1116661,667084,10
1116661,112872,11
1116661,312521,12
1116661,139902,13
1116661,97530,14
1116661,335463,15
